epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3894,1.35716,1.0676,1.58336,0.83231,0.84145,0.91073,0.57561,1.33095,0.73538,1.44408,0.000552527,0.000552527,0.000552527
2,46.4938,1.26364,0.97338,1.50338,0.838,0.87743,0.8919,0.55839,1.32923,0.7593,1.48127,0.00110271,0.00110271,0.00110271
3,68.1819,1.27136,0.95934,1.5016,0.80948,0.84866,0.87751,0.58153,1.21955,0.79934,1.39632,0.00164739,0.00164739,0.00164739
4,90.0511,1.29673,0.99467,1.5291,0.77537,0.90114,0.88403,0.52856,1.39079,0.76013,1.50678,0.00164225,0.00164225,0.00164225
5,112.217,1.28344,0.98719,1.53359,0.79292,0.91709,0.89378,0.51956,1.444,0.7742,1.57863,0.00163399,0.00163399,0.00163399
6,133.256,1.2702,0.99608,1.52687,0.80094,0.91689,0.89871,0.57954,1.25457,0.75265,1.42891,0.00162574,0.00162574,0.00162574
7,154.571,1.29257,1.00211,1.54147,0.85473,0.84679,0.90008,0.5409,1.3582,0.78822,1.47852,0.00161749,0.00161749,0.00161749
8,175.641,1.27888,1.0266,1.52051,0.80715,0.83749,0.87897,0.51317,1.49751,0.83798,1.60906,0.00160924,0.00160924,0.00160924
9,197.481,1.27258,0.99966,1.51459,0.80386,0.85649,0.86675,0.54993,1.34939,0.80656,1.47565,0.00160099,0.00160099,0.00160099
10,219.59,1.2489,0.97739,1.51383,0.77834,0.87662,0.87584,0.56332,1.2772,0.82471,1.44914,0.00159274,0.00159274,0.00159274
11,240.497,1.25265,0.98488,1.5115,0.84355,0.83402,0.88905,0.5587,1.29612,0.84117,1.44304,0.00158448,0.00158448,0.00158448
12,262.054,1.3558,1.01661,1.59128,0.82427,0.88675,0.90052,0.58829,1.22083,0.75043,1.38259,0.00157623,0.00157623,0.00157623
13,282.838,1.39591,1.07765,1.60962,0.83094,0.8824,0.90017,0.57655,1.24011,0.75081,1.40317,0.00156798,0.00156798,0.00156798
14,303.998,1.33377,1.03306,1.56018,0.84477,0.8591,0.89362,0.5878,1.22891,0.74073,1.40575,0.00155973,0.00155973,0.00155973
15,325.253,1.33211,1.02017,1.54571,0.85583,0.83373,0.91338,0.59952,1.24954,0.72611,1.40521,0.00155148,0.00155148,0.00155148
