epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2623,1.87016,1.24525,2.11521,0.80698,0.82624,0.8248,0.35938,2.06637,0.84648,1.98688,0.000552527,0.000552527,0.000552527
2,47.9878,1.54745,1.11714,1.71021,0.82005,0.86887,0.85078,0.3603,2.05363,0.90485,1.98408,0.00110271,0.00110271,0.00110271
3,71.3374,1.51529,1.12871,1.69509,0.81559,0.85459,0.85381,0.4956,1.51433,0.79637,1.56627,0.00164739,0.00164739,0.00164739
4,94.07,1.48819,1.1506,1.68714,0.80024,0.83779,0.84556,0.41441,1.83233,0.84978,1.77129,0.00164225,0.00164225,0.00164225
5,118.158,1.47253,1.11975,1.67875,0.81414,0.87543,0.85291,0.47413,1.54766,0.81399,1.58835,0.00163399,0.00163399,0.00163399
6,141.231,1.44981,1.14682,1.65454,0.76684,0.86013,0.86833,0.50466,1.45222,0.87017,1.54691,0.00162574,0.00162574,0.00162574
7,164.899,1.45602,1.17102,1.66345,0.80537,0.83079,0.8856,0.50345,1.53693,0.82281,1.60611,0.00161749,0.00161749,0.00161749
8,189.803,1.42011,1.15613,1.62177,0.76799,0.84284,0.85047,0.51345,1.38094,0.87509,1.50539,0.00160924,0.00160924,0.00160924
9,212.412,1.43407,1.12632,1.62264,0.81353,0.85267,0.87002,0.46686,1.58902,0.81298,1.62846,0.00160099,0.00160099,0.00160099
10,235.453,1.39691,1.11356,1.6239,0.80461,0.87834,0.87445,0.52995,1.41269,0.81775,1.51633,0.00159274,0.00159274,0.00159274
11,258.187,1.38609,1.07791,1.60511,0.83774,0.84908,0.90331,0.56975,1.34203,0.76713,1.45461,0.00158448,0.00158448,0.00158448
12,281.933,1.4476,1.11823,1.64797,0.80093,0.84473,0.8865,0.57629,1.26232,0.79526,1.41298,0.00157623,0.00157623,0.00157623
13,304.221,1.43974,1.13799,1.62801,0.78234,0.9018,0.89858,0.5586,1.36615,0.75743,1.49376,0.00156798,0.00156798,0.00156798
