epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7746,0.97883,0.81545,1.17847,0.8538,0.88858,0.91536,0.65272,1.01789,0.69122,1.16663,0.000554093,0.000554093,0.000554093
2,59.5549,1.08254,0.90607,1.23282,0.78563,0.88278,0.89509,0.64532,1.02085,0.77245,1.16126,0.00110427,0.00110427,0.00110427
3,86.0425,1.11751,0.94599,1.26014,0.81335,0.89199,0.89571,0.62276,1.09485,0.78983,1.23438,0.00164894,0.00164894,0.00164894
4,115.233,1.15085,1.04517,1.29523,0.81555,0.8793,0.88749,0.61791,1.09021,0.79252,1.21529,0.00164225,0.00164225,0.00164225
5,141.554,1.14101,0.99885,1.26527,0.80248,0.88312,0.8908,0.63259,1.04069,0.83635,1.1701,0.00163399,0.00163399,0.00163399
6,169.602,1.17994,1.01987,1.30204,0.79307,0.89417,0.87169,0.59246,1.1049,0.814,1.23517,0.00162574,0.00162574,0.00162574
7,195.403,1.14715,1.01737,1.3017,0.80359,0.8962,0.89411,0.61805,1.1354,0.80837,1.25326,0.00161749,0.00161749,0.00161749
8,220.997,1.19753,1.04058,1.31259,0.80312,0.88368,0.88726,0.62305,1.06619,0.78418,1.21388,0.00160924,0.00160924,0.00160924
9,246.997,1.18435,1.0266,1.3185,0.83894,0.8402,0.878,0.6076,1.04984,0.85941,1.19453,0.00160099,0.00160099,0.00160099
10,272.705,1.14705,1.0258,1.28815,0.81961,0.87551,0.89207,0.62232,1.09556,0.82942,1.21712,0.00159274,0.00159274,0.00159274
11,299.281,1.16903,1.03585,1.31647,0.77893,0.89072,0.89799,0.61752,1.09265,0.80651,1.23229,0.00158448,0.00158448,0.00158448
12,325.685,1.1554,1.01299,1.31657,0.84225,0.90735,0.9212,0.63884,1.08269,0.75546,1.19731,0.00157623,0.00157623,0.00157623
13,360.879,1.16084,1.01217,1.28801,0.84547,0.84918,0.88538,0.60478,1.09008,0.78608,1.21992,0.00156798,0.00156798,0.00156798
