epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3363,0.97883,0.81545,1.17847,0.8538,0.88858,0.91536,0.65272,1.01789,0.69122,1.16663,0.000554093,0.000554093,0.000554093
2,55.6942,1.08254,0.90607,1.23282,0.78563,0.88278,0.89509,0.64532,1.02085,0.77245,1.16126,0.00110427,0.00110427,0.00110427
3,80.6207,1.11751,0.94599,1.26014,0.81335,0.89199,0.89571,0.62276,1.09485,0.78983,1.23438,0.00164894,0.00164894,0.00164894
4,105.802,1.15085,1.04517,1.29523,0.81555,0.8793,0.88749,0.61791,1.09021,0.79252,1.21529,0.00164225,0.00164225,0.00164225
5,130.976,1.14101,0.99885,1.26527,0.80248,0.88312,0.8908,0.63259,1.04069,0.83635,1.1701,0.00163399,0.00163399,0.00163399
6,156.127,1.17994,1.01987,1.30204,0.79307,0.89417,0.87169,0.59246,1.1049,0.814,1.23517,0.00162574,0.00162574,0.00162574
7,181.352,1.14715,1.01737,1.3017,0.80359,0.8962,0.89411,0.61805,1.1354,0.80837,1.25326,0.00161749,0.00161749,0.00161749
8,206.766,1.19753,1.04058,1.31259,0.80312,0.88368,0.88726,0.62305,1.06619,0.78418,1.21388,0.00160924,0.00160924,0.00160924
9,231.787,1.18435,1.0266,1.3185,0.83894,0.8402,0.878,0.6076,1.04984,0.85941,1.19453,0.00160099,0.00160099,0.00160099
10,257.152,1.14705,1.0258,1.28815,0.81961,0.87551,0.89207,0.62232,1.09556,0.82942,1.21712,0.00159274,0.00159274,0.00159274
11,282.416,1.16903,1.03585,1.31647,0.77893,0.89072,0.89799,0.61752,1.09265,0.80651,1.23229,0.00158448,0.00158448,0.00158448
12,308.487,1.1554,1.01299,1.31657,0.84225,0.90735,0.9212,0.63884,1.08269,0.75546,1.19731,0.00157623,0.00157623,0.00157623
13,334.08,1.16084,1.01217,1.28801,0.84547,0.84918,0.88538,0.60478,1.09008,0.78608,1.21992,0.00156798,0.00156798,0.00156798
14,359.419,1.16258,0.97763,1.28125,0.82249,0.84964,0.9031,0.61441,1.10671,0.80742,1.2203,0.00155973,0.00155973,0.00155973
15,384.761,1.13536,0.98951,1.29494,0.84273,0.86788,0.90857,0.6388,1.05435,0.75951,1.21579,0.00155148,0.00155148,0.00155148
16,410.497,1.12569,0.98105,1.2813,0.84528,0.86291,0.90158,0.6147,1.103,0.78576,1.24281,0.00154323,0.00154323,0.00154323
17,435.79,1.15413,0.99517,1.27918,0.86009,0.86188,0.91591,0.64168,1.06515,0.78018,1.20331,0.00153497,0.00153497,0.00153497
18,460.988,1.13569,0.98563,1.29128,0.81396,0.90955,0.92579,0.67244,1.05158,0.75656,1.21028,0.00152672,0.00152672,0.00152672
19,486.142,1.13092,0.98624,1.29502,0.82591,0.94213,0.90072,0.63393,1.04975,0.7278,1.20844,0.00151847,0.00151847,0.00151847
20,511.585,1.16199,1.0033,1.31742,0.83936,0.9094,0.90464,0.6429,1.05319,0.7467,1.22157,0.00151022,0.00151022,0.00151022
21,536.698,1.11728,0.96876,1.2774,0.84561,0.87218,0.93223,0.65594,1.04792,0.74285,1.183,0.00150197,0.00150197,0.00150197
22,562.004,1.12717,0.9722,1.29419,0.83134,0.90559,0.92526,0.65476,1.03893,0.71908,1.19726,0.00149372,0.00149372,0.00149372
23,587.4,1.1226,0.96805,1.28025,0.79865,0.91501,0.92163,0.64741,1.06905,0.7649,1.18016,0.00148546,0.00148546,0.00148546
24,612.88,1.09555,0.97367,1.26452,0.81684,0.93061,0.91607,0.64909,1.03596,0.72841,1.17762,0.00147721,0.00147721,0.00147721
25,638.059,1.08329,0.97567,1.26062,0.85491,0.84546,0.91579,0.64735,1.07637,0.75846,1.22387,0.00146896,0.00146896,0.00146896
26,663.305,1.14551,0.95296,1.29806,0.82679,0.87528,0.91571,0.6354,1.08984,0.73594,1.19727,0.00146071,0.00146071,0.00146071
27,688.454,1.13468,0.96868,1.28965,0.82244,0.90189,0.91834,0.65421,1.03493,0.72836,1.19264,0.00145246,0.00145246,0.00145246
28,713.377,1.12476,0.95825,1.28745,0.83669,0.91478,0.93045,0.65765,1.06265,0.72986,1.18387,0.00144421,0.00144421,0.00144421
29,738.89,1.11795,0.95449,1.27517,0.83255,0.89169,0.90196,0.64364,1.04187,0.74079,1.16703,0.00143595,0.00143595,0.00143595
30,765.495,1.10918,0.95484,1.27021,0.84468,0.92761,0.92857,0.67517,1.02996,0.71535,1.18397,0.0014277,0.0014277,0.0014277
31,792.494,1.08561,0.91947,1.26417,0.87509,0.87534,0.93447,0.67914,1.02049,0.69387,1.17163,0.00141945,0.00141945,0.00141945
32,818.508,1.11288,0.92029,1.2795,0.86157,0.89431,0.9261,0.67578,1.01222,0.715,1.18554,0.0014112,0.0014112,0.0014112
33,843.73,1.12243,0.93276,1.28752,0.83185,0.90275,0.89976,0.64098,1.04527,0.74317,1.18864,0.00140295,0.00140295,0.00140295
34,869.057,1.08884,0.91667,1.25732,0.85622,0.87021,0.92772,0.66,1.02995,0.68766,1.20023,0.0013947,0.0013947,0.0013947
35,894.289,1.08539,0.95029,1.26185,0.86224,0.89138,0.91983,0.67148,1.0211,0.71336,1.16801,0.00138644,0.00138644,0.00138644
36,920.218,1.07929,0.89143,1.24521,0.84211,0.90725,0.92521,0.66066,1.0466,0.69783,1.1811,0.00137819,0.00137819,0.00137819
37,945.657,1.10272,0.92716,1.26141,0.8452,0.86305,0.92266,0.64959,1.0477,0.73321,1.19029,0.00136994,0.00136994,0.00136994
38,971.25,1.08036,0.90984,1.26043,0.85085,0.89431,0.93104,0.66197,1.02018,0.67466,1.16911,0.00136169,0.00136169,0.00136169
39,996.6,1.10132,0.92848,1.26815,0.82123,0.9423,0.91795,0.65038,1.03886,0.70178,1.16948,0.00135344,0.00135344,0.00135344
40,1021.86,1.10339,0.93313,1.26616,0.83197,0.86145,0.91586,0.66858,1.01089,0.76126,1.17298,0.00134519,0.00134519,0.00134519
41,1046.86,1.0828,0.92338,1.25507,0.87618,0.89634,0.94929,0.67793,1.0399,0.66532,1.17778,0.00133693,0.00133693,0.00133693
42,1072.18,1.07334,0.926,1.25387,0.81618,0.9248,0.93671,0.66389,1.05646,0.67583,1.19491,0.00132868,0.00132868,0.00132868
43,1097.7,1.09219,0.89824,1.26585,0.83891,0.90444,0.93069,0.66125,1.07599,0.68693,1.22973,0.00132043,0.00132043,0.00132043
44,1123.68,1.10892,0.89957,1.26071,0.83742,0.91704,0.91549,0.64086,1.0509,0.71073,1.18819,0.00131218,0.00131218,0.00131218
45,1149.15,1.07338,0.89939,1.26005,0.82178,0.93213,0.93162,0.6669,1.03019,0.71615,1.18068,0.00130393,0.00130393,0.00130393
46,1174.38,1.03598,0.82904,1.22997,0.80328,0.94341,0.92489,0.66921,1.02414,0.7164,1.18302,0.00129568,0.00129568,0.00129568
47,1199.98,1.08577,0.89201,1.25844,0.83807,0.87687,0.90698,0.64992,1.05065,0.73991,1.20199,0.00128742,0.00128742,0.00128742
48,1225.95,1.1075,0.89073,1.25676,0.8719,0.9018,0.9258,0.67249,1.02455,0.66412,1.18038,0.00127917,0.00127917,0.00127917
49,1251.64,1.0624,0.83671,1.25134,0.8155,0.92573,0.91284,0.66492,1.02442,0.69489,1.17808,0.00127092,0.00127092,0.00127092
50,1276.99,1.0489,0.85405,1.24325,0.85907,0.8967,0.92511,0.66586,1.04685,0.69823,1.18539,0.00126267,0.00126267,0.00126267
51,1302.31,1.04377,0.89057,1.23067,0.83019,0.91874,0.92851,0.67308,0.99961,0.68465,1.17066,0.00125442,0.00125442,0.00125442
52,1327.69,1.0534,0.8792,1.24287,0.82991,0.91167,0.92476,0.66226,1.03358,0.68032,1.18384,0.00124617,0.00124617,0.00124617
53,1352.93,1.07461,0.88604,1.24845,0.85407,0.89827,0.92756,0.6605,1.03204,0.67987,1.18504,0.00123791,0.00123791,0.00123791
54,1378.29,1.07197,0.90108,1.24594,0.85821,0.90575,0.92774,0.6715,1.01736,0.66158,1.17495,0.00122966,0.00122966,0.00122966
55,1403.54,1.07256,0.86402,1.23846,0.8551,0.91709,0.93366,0.68007,1.02651,0.66288,1.19424,0.00122141,0.00122141,0.00122141
56,1428.54,1.05994,0.86005,1.23593,0.88984,0.88009,0.94334,0.68727,1.02767,0.66026,1.18721,0.00121316,0.00121316,0.00121316
57,1454.74,1.05805,0.87007,1.23598,0.85058,0.8981,0.92765,0.67619,1.03625,0.66954,1.18175,0.00120491,0.00120491,0.00120491
58,1480.51,1.03526,0.85044,1.2246,0.83843,0.90946,0.93125,0.67899,1.00106,0.679,1.14783,0.00119666,0.00119666,0.00119666
59,1505.78,1.0548,0.8547,1.23526,0.86342,0.92701,0.93737,0.67595,1.02888,0.6504,1.189,0.0011884,0.0011884,0.0011884
60,1531.34,1.03088,0.83754,1.22174,0.84431,0.92419,0.93358,0.66962,1.04789,0.66366,1.2046,0.00118015,0.00118015,0.00118015
61,1556.65,1.04443,0.87714,1.21909,0.87127,0.90754,0.94195,0.67889,1.0414,0.65304,1.17847,0.0011719,0.0011719,0.0011719
62,1581.61,1.03354,0.85888,1.22124,0.86294,0.88652,0.93923,0.68273,1.0234,0.66008,1.18073,0.00116365,0.00116365,0.00116365
63,1607.11,1.04098,0.83771,1.23708,0.88696,0.84568,0.93368,0.67024,1.04798,0.69679,1.18809,0.0011554,0.0011554,0.0011554
64,1632.8,1.03544,0.86001,1.21546,0.84343,0.89818,0.93802,0.67989,1.01102,0.6541,1.16451,0.00114715,0.00114715,0.00114715
65,1658.1,1.04227,0.83531,1.22256,0.83832,0.90946,0.93396,0.67292,1.03545,0.65668,1.18674,0.00113889,0.00113889,0.00113889
66,1683.43,0.99096,0.84466,1.20259,0.86808,0.90847,0.92939,0.66334,1.04164,0.66485,1.19833,0.00113064,0.00113064,0.00113064
67,1708.64,1.04101,0.85855,1.22553,0.86573,0.89445,0.93339,0.67791,1.0229,0.661,1.19701,0.00112239,0.00112239,0.00112239
68,1733.97,1.06943,0.9047,1.25947,0.85751,0.85828,0.92351,0.65932,1.04044,0.68596,1.19837,0.00111414,0.00111414,0.00111414
69,1759.23,1.03289,0.86617,1.23791,0.83479,0.8732,0.91823,0.66672,1.06106,0.71562,1.20649,0.00110589,0.00110589,0.00110589
70,1784.71,1.06608,0.82742,1.25891,0.83381,0.90998,0.91711,0.65713,1.06498,0.68981,1.18892,0.00109764,0.00109764,0.00109764
71,1810.13,1.03105,0.84271,1.22928,0.86283,0.92071,0.93279,0.67937,1.02822,0.63179,1.18329,0.00108938,0.00108938,0.00108938
72,1836.81,1.03427,0.81673,1.23295,0.85051,0.93586,0.93307,0.67536,1.04418,0.65058,1.20606,0.00108113,0.00108113,0.00108113
73,1862.95,1.01183,0.80036,1.20562,0.87358,0.89807,0.93099,0.66546,1.05478,0.65903,1.20573,0.00107288,0.00107288,0.00107288
74,1888.21,0.99156,0.77748,1.19594,0.84827,0.9046,0.93533,0.66409,1.03961,0.65712,1.17751,0.00106463,0.00106463,0.00106463
75,1913.22,1.0328,0.82192,1.22861,0.87549,0.86412,0.9262,0.66982,1.0202,0.6739,1.1578,0.00105638,0.00105638,0.00105638
76,1938.13,1.01503,0.81671,1.221,0.82578,0.89429,0.91676,0.66528,1.01283,0.67436,1.15058,0.00104813,0.00104813,0.00104813
77,1963.64,0.99771,0.85054,1.20117,0.86804,0.87097,0.91331,0.66503,1.03726,0.68798,1.16157,0.00103987,0.00103987,0.00103987
78,1988.9,1.0495,0.83654,1.21578,0.84126,0.89813,0.92426,0.66984,1.03888,0.66661,1.16434,0.00103162,0.00103162,0.00103162
79,2014.18,1.05103,0.85307,1.22201,0.85955,0.89555,0.92283,0.6762,1.0102,0.66583,1.16928,0.00102337,0.00102337,0.00102337
80,2039.4,1.01558,0.80656,1.21408,0.82807,0.91299,0.93037,0.67658,1.0209,0.65635,1.15847,0.00101512,0.00101512,0.00101512
81,2064.59,1.03909,0.8178,1.23709,0.85669,0.90317,0.93192,0.67241,1.02859,0.64884,1.18037,0.00100687,0.00100687,0.00100687
82,2089.69,1.00329,0.80795,1.20335,0.8736,0.90715,0.93156,0.68004,1.01996,0.64604,1.16177,0.000998616,0.000998616,0.000998616
83,2115.34,1.02022,0.81945,1.22166,0.8729,0.86788,0.91557,0.65578,1.04134,0.69131,1.1731,0.000990365,0.000990365,0.000990365
84,2140.91,1.01968,0.815,1.20854,0.84187,0.89845,0.92685,0.67096,1.01262,0.68229,1.14567,0.000982113,0.000982113,0.000982113
85,2166.73,0.97572,0.80871,1.19321,0.8661,0.86418,0.91642,0.66913,1.00681,0.67333,1.16137,0.000973861,0.000973861,0.000973861
86,2191.97,1.00944,0.81135,1.21666,0.88761,0.87988,0.93568,0.68681,0.97976,0.66885,1.14928,0.00096561,0.00096561,0.00096561
87,2216.98,1.00274,0.80557,1.20215,0.87167,0.88323,0.93177,0.68471,0.99812,0.65138,1.1335,0.000957358,0.000957358,0.000957358
88,2242.04,0.9923,0.78612,1.19702,0.87003,0.89119,0.93597,0.6856,1.01587,0.67234,1.15658,0.000949106,0.000949106,0.000949106
89,2267.5,0.98323,0.80508,1.19461,0.8451,0.89062,0.93716,0.6863,1.00271,0.67071,1.14469,0.000940855,0.000940855,0.000940855
