epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7981,0.91593,0.74827,1.14716,0.86887,0.90322,0.93563,0.69079,0.99845,0.6071,1.17161,0.00332389,0.00332389,0.00332389
2,49.5335,0.95097,0.72836,1.15312,0.88509,0.84195,0.9187,0.66581,1.02244,0.68644,1.15136,0.00665719,0.00665719,0.00665719
3,72.8562,1.00265,0.77551,1.18058,0.8537,0.87175,0.9149,0.66355,1.0641,0.71126,1.20068,0.00999046,0.00999046,0.00999046
4,96.3794,1.08,0.93296,1.23372,0.86874,0.84154,0.90669,0.64142,1.07422,0.72851,1.20413,0.00999985,0.00999985,0.00999985
5,119.667,1.10914,0.92502,1.2401,0.82932,0.85219,0.90627,0.65168,1.03615,0.73512,1.17741,0.0099998,0.0099998,0.0099998
6,143.066,1.11741,0.91485,1.24372,0.84745,0.88812,0.8927,0.60888,1.07623,0.73172,1.19873,0.00999975,0.00999975,0.00999975
7,166.206,1.09939,0.93293,1.23555,0.81846,0.81901,0.87793,0.61492,1.08502,0.79598,1.1922,0.0099997,0.0099997,0.0099997
8,189.536,1.10403,0.93844,1.24236,0.83599,0.84114,0.88467,0.63247,1.05008,0.78618,1.18322,0.00999965,0.00999965,0.00999965
9,212.921,1.11792,0.94593,1.25235,0.86883,0.84699,0.91244,0.64527,1.0968,0.71108,1.19568,0.0099996,0.0099996,0.0099996
10,236.668,1.12,0.97624,1.2543,0.84055,0.8922,0.91647,0.64962,1.06661,0.68526,1.17326,0.00999955,0.00999955,0.00999955
11,260.245,1.1283,0.95741,1.25542,0.88399,0.84402,0.93249,0.66395,1.03072,0.69048,1.16084,0.00999951,0.00999951,0.00999951
12,284.886,1.10913,0.93218,1.25417,0.84294,0.89665,0.91502,0.64352,1.08972,0.70099,1.18814,0.00999946,0.00999946,0.00999946
13,309.519,1.143,0.92903,1.25282,0.86859,0.84154,0.90724,0.61914,1.09901,0.76402,1.22026,0.00999941,0.00999941,0.00999941
14,333.36,1.10942,0.90837,1.22957,0.86118,0.85133,0.90149,0.62717,1.06142,0.72985,1.17774,0.00999936,0.00999936,0.00999936
15,357.615,1.10355,0.91998,1.24474,0.83521,0.90866,0.93085,0.65873,1.03793,0.67964,1.17693,0.00999931,0.00999931,0.00999931
16,381.7,1.09267,0.89296,1.23971,0.84415,0.8767,0.9211,0.63769,1.08578,0.71072,1.21257,0.00999926,0.00999926,0.00999926
17,406.204,1.10174,0.90238,1.24729,0.84487,0.86536,0.90878,0.63411,1.0904,0.73619,1.19206,0.00999921,0.00999921,0.00999921
18,430.673,1.11549,0.89566,1.24951,0.86839,0.88303,0.91959,0.67832,1.01882,0.67038,1.13999,0.00999916,0.00999916,0.00999916
19,454.969,1.08752,0.86995,1.2247,0.89118,0.87554,0.9326,0.66747,1.02503,0.66645,1.15559,0.00999911,0.00999911,0.00999911
20,479.231,1.10536,0.9006,1.2481,0.86223,0.87617,0.9173,0.65685,1.01796,0.69521,1.1586,0.00999906,0.00999906,0.00999906
21,503.458,1.08524,0.86262,1.23082,0.83162,0.85425,0.90153,0.63936,1.05377,0.72278,1.16124,0.00999901,0.00999901,0.00999901
22,527.45,1.08545,0.90038,1.24062,0.87104,0.84391,0.91392,0.64567,1.0565,0.70095,1.17682,0.00999896,0.00999896,0.00999896
23,552.635,1.09722,0.91243,1.24073,0.84946,0.85287,0.91373,0.63306,1.09111,0.73273,1.20275,0.00999891,0.00999891,0.00999891
24,577.327,1.07536,0.85475,1.23392,0.88167,0.85654,0.93048,0.66659,1.02708,0.68578,1.16284,0.00999886,0.00999886,0.00999886
25,601.719,1.06897,0.92308,1.22069,0.85641,0.86244,0.89921,0.64169,1.01568,0.7641,1.15194,0.00999881,0.00999881,0.00999881
26,625.903,1.10518,0.87979,1.23604,0.88591,0.84658,0.92346,0.65971,1.04229,0.70487,1.15884,0.00999876,0.00999876,0.00999876
27,650.355,1.11893,0.88655,1.25473,0.83389,0.88676,0.93293,0.68064,1.02299,0.68292,1.14923,0.00999871,0.00999871,0.00999871
28,674.582,1.07079,0.86042,1.22833,0.8759,0.84419,0.93002,0.66649,1.03818,0.66657,1.16841,0.00999866,0.00999866,0.00999866
29,698.885,1.09083,0.90126,1.2422,0.81096,0.92076,0.91092,0.6515,1.02554,0.67253,1.17409,0.00999861,0.00999861,0.00999861
30,723.063,1.07423,0.90127,1.23647,0.84825,0.85702,0.90128,0.64008,1.0382,0.71195,1.16675,0.00999856,0.00999856,0.00999856
31,747.224,1.07169,0.87162,1.2372,0.88062,0.8949,0.92819,0.66105,1.02567,0.67346,1.15693,0.00999851,0.00999851,0.00999851
32,771.39,1.09291,0.85838,1.23102,0.86538,0.87924,0.91674,0.66346,1.00679,0.69466,1.12888,0.00999847,0.00999847,0.00999847
33,795.817,1.07976,0.84473,1.22471,0.86402,0.87469,0.89273,0.646,1.02313,0.70585,1.14575,0.00999842,0.00999842,0.00999842
34,820.121,1.07078,0.87744,1.20825,0.87902,0.86421,0.93763,0.68358,0.9932,0.65222,1.13529,0.00999837,0.00999837,0.00999837
35,844.469,1.04821,0.86173,1.20564,0.87395,0.88623,0.92498,0.67027,1.02044,0.65127,1.14282,0.00999832,0.00999832,0.00999832
36,868.767,1.05242,0.84653,1.20265,0.78812,0.92702,0.92973,0.67647,0.98635,0.65933,1.13156,0.00999827,0.00999827,0.00999827
37,893.049,1.10259,0.89374,1.23469,0.80086,0.88688,0.91653,0.6419,1.05321,0.71747,1.17903,0.00999822,0.00999822,0.00999822
38,917.484,1.08715,0.84917,1.23765,0.88994,0.87916,0.93968,0.67637,1.00744,0.65489,1.13856,0.00999817,0.00999817,0.00999817
39,942.534,1.08029,0.87939,1.22976,0.863,0.88297,0.9292,0.65682,1.04078,0.68326,1.16527,0.00999812,0.00999812,0.00999812
40,967.721,1.07154,0.85235,1.21977,0.84129,0.89717,0.91673,0.66376,1.02921,0.69578,1.16232,0.00999807,0.00999807,0.00999807
41,992.255,1.06733,0.85669,1.21914,0.86239,0.91071,0.93124,0.66049,1.05105,0.65311,1.17119,0.00999802,0.00999802,0.00999802
42,1016.46,1.04159,0.86629,1.21443,0.87103,0.89034,0.91868,0.67171,1.00607,0.66471,1.13831,0.00999797,0.00999797,0.00999797
43,1040.89,1.08731,0.857,1.23617,0.87613,0.85643,0.92437,0.66801,1.02462,0.6705,1.1547,0.00999792,0.00999792,0.00999792
44,1065.24,1.08594,0.8436,1.21641,0.86618,0.87005,0.91641,0.66916,1.01605,0.68661,1.14669,0.00999787,0.00999787,0.00999787
45,1089.62,1.06034,0.86402,1.21979,0.8578,0.88228,0.92259,0.665,1.01701,0.6913,1.14841,0.00999782,0.00999782,0.00999782
46,1113.57,1.04167,0.8113,1.20538,0.90264,0.8647,0.93968,0.68122,1.02064,0.65953,1.15981,0.00999777,0.00999777,0.00999777
47,1137.41,1.07528,0.85359,1.23738,0.85466,0.90977,0.93233,0.67502,1.01893,0.65678,1.15179,0.00999772,0.00999772,0.00999772
48,1160.99,1.08188,0.84235,1.21943,0.8371,0.91182,0.91499,0.65677,1.02778,0.67495,1.16374,0.00999767,0.00999767,0.00999767
49,1184.38,1.07088,0.80994,1.21979,0.89543,0.88962,0.93742,0.67669,1.02521,0.63712,1.16641,0.00999762,0.00999762,0.00999762
50,1207.68,1.05306,0.82697,1.22182,0.87393,0.90251,0.9281,0.65749,1.04485,0.66701,1.17399,0.00999757,0.00999757,0.00999757
51,1231.09,1.05095,0.86516,1.20622,0.87548,0.89815,0.929,0.66573,1.03953,0.65982,1.16248,0.00999753,0.00999753,0.00999753
52,1254.61,1.0451,0.86799,1.21185,0.87386,0.89749,0.94533,0.66648,1.04551,0.64177,1.17684,0.00999748,0.00999748,0.00999748
53,1278.16,1.07012,0.86635,1.22288,0.85899,0.8776,0.92999,0.67303,1.0338,0.64949,1.175,0.00999743,0.00999743,0.00999743
54,1301.59,1.0676,0.87287,1.22567,0.84006,0.90437,0.92715,0.67188,1.00359,0.65913,1.14192,0.00999738,0.00999738,0.00999738
55,1324.87,1.04722,0.83068,1.21166,0.88544,0.89252,0.94041,0.68618,1.02935,0.64357,1.161,0.00999733,0.00999733,0.00999733
56,1348.45,1.06457,0.83387,1.2266,0.86951,0.90437,0.9327,0.68193,1.01353,0.65925,1.14492,0.00999728,0.00999728,0.00999728
57,1374.95,1.10256,0.88521,1.24546,0.85752,0.91214,0.93921,0.68001,1.02015,0.63617,1.14384,0.00999723,0.00999723,0.00999723
58,1398.85,1.04562,0.84454,1.20939,0.82484,0.87443,0.93308,0.66858,1.01057,0.70855,1.15907,0.00999718,0.00999718,0.00999718
59,1423.01,1.08335,0.83264,1.23626,0.91233,0.86106,0.94239,0.68605,1.00167,0.64786,1.15194,0.00999713,0.00999713,0.00999713
60,1447.02,1.03961,0.8287,1.20738,0.85197,0.89137,0.93132,0.68202,1.01963,0.66631,1.15712,0.00999708,0.00999708,0.00999708
61,1470.58,1.0384,0.8678,1.18819,0.82886,0.89046,0.91493,0.66175,1.02246,0.68551,1.15506,0.00999703,0.00999703,0.00999703
62,1494.12,1.03586,0.83868,1.19747,0.84406,0.90252,0.92033,0.67292,1.00401,0.66573,1.15424,0.00999698,0.00999698,0.00999698
63,1517.32,1.05016,0.83374,1.21106,0.77984,0.90945,0.90722,0.65233,1.02669,0.71969,1.16391,0.00999693,0.00999693,0.00999693
64,1540.73,1.04449,0.84737,1.20225,0.82091,0.93063,0.92804,0.67098,1.02404,0.66416,1.17034,0.00999688,0.00999688,0.00999688
65,1564.3,1.0606,0.83679,1.22454,0.83875,0.89458,0.92337,0.67934,0.99865,0.68991,1.1537,0.00999683,0.00999683,0.00999683
66,1587.82,1.00226,0.82845,1.18501,0.83231,0.84903,0.89469,0.65349,1.00357,0.70097,1.14934,0.00999678,0.00999678,0.00999678
67,1611.26,1.04378,0.83163,1.20684,0.85829,0.89815,0.94226,0.67562,1.03338,0.64626,1.16247,0.00999673,0.00999673,0.00999673
68,1634.83,1.06824,0.87513,1.23806,0.88775,0.86881,0.93625,0.6698,1.05121,0.63925,1.18111,0.00999668,0.00999668,0.00999668
69,1658.37,1.03556,0.83975,1.21408,0.88552,0.87501,0.93558,0.67772,0.9996,0.63745,1.15073,0.00999663,0.00999663,0.00999663
70,1681.66,1.0912,0.82233,1.25084,0.89131,0.87083,0.94015,0.68331,1.01474,0.63158,1.16211,0.00999658,0.00999658,0.00999658
71,1705.09,1.00125,0.83298,1.19766,0.84936,0.90584,0.93391,0.66614,1.0275,0.65436,1.16564,0.00999654,0.00999654,0.00999654
72,1728.58,1.02862,0.81814,1.21048,0.88237,0.91387,0.93676,0.68612,1.01109,0.61456,1.14729,0.00999649,0.00999649,0.00999649
